Producto,codigo,precio,categoria,unidad
ACRILICO CRISTAL 1.80X1.80 ESP.4 MM ,A231,Ej. Sube tu Producto,ACABADOS,m232
ACRILICO CRISTAL 2.40X1.20 ESP.3 MM ,A232,Ej. Sube tu Producto,ACABADOS,m233
ACRILICO CRISTAL 2.40X1.20 ESP.4 MM ,A233,Ej. Sube tu Producto,ACABADOS,m234
ACRILICO CRISTAL 2.40X1.80 ESP.3 MM ,A234,Ej. Sube tu Producto,ACABADOS,m235
ACRILICO CRISTAL 2.40X1.80 ESP.4 MM ,A235,Ej. Sube tu Producto,ACABADOS,m236
ACRÍLICO EN COLOR 240 X 120 CM DE 3 MM,A236,Ej. Sube tu Producto,ACABADOS,m237
ACRILPRO 3A BCO. Y ROJO CUB. 19LT- MARCA PROTEXA,A237,Ej. Sube tu Producto,ACABADOS,m238
ACRITEX CUBETA CON 19 LT. ,A238,Ej. Sube tu Producto,ACABADOS,m239
ACRITEX PLUS CUBETA CON 33 KG. ,A239,Ej. Sube tu Producto,ACABADOS,m240
ACTUADOR ELÉCTRÓNICO PARA FLUXÓMETRO DE PALANCA O PEDAL PARA INODORO O MINGITORIO BV89-A-M ,A240,Ej. Sube tu Producto,ELECTRICO,m241
ACTUADOR ELÉCTRÓNICO PARA TANQUE BAJO EN INODORO A 120 VOLTS 60 HERTS- MARCA FLUXOMEX. ,A241,Ej. Sube tu Producto,ELECTRICO,m242
ACUSTICOTE 25 KG (PLAFONES) BTO/25,A242,Ej. Sube tu Producto,PLAFONES,m243
ACUSTICOTERO PISTOLA TIROL P/COMP.DE AIR ,A243,Ej. Sube tu Producto,PLAFONES,m244
"ADAPTADOR 2"" FIBRA DE VIDRIO ",A244,Ej. Sube tu Producto,PLAFONES,m245
ADAPTADOR 368-5- (ANDAMIOS ATLAS). ,A245,Ej. Sube tu Producto,HERRERIA,m246
ADAPTADOR 368-5- (ANDAMIOS ATLAS). ,A246,Ej. Sube tu Producto,HERRERIA,m247
ADAPTADOR A GALV. CEMENTAR 100MM ,A247,Ej. Sube tu Producto,SANITARIO,m248
ADAPTADOR A GALV. CEMENTAR 40MM ,A248,Ej. Sube tu Producto,SANITARIO,m249
"ADAPTADOR A GALVANIZADO CAMPANA DE 100 X 100 MM (4"" X 4"") SANITARIO- MARCA TUBOS FLEXIBLES ",A249,Ej. Sube tu Producto,SANITARIO,m250
"ADAPTADOR A GALVANIZADO CAMPANA DE 50 X 50 MM (2"" X 2"") SANITARIO- MARCA TUBOS FLEXIBLES ",A250,Ej. Sube tu Producto,SANITARIO,m251
"ADAPTADOR A GALVANIZADO CEMENTAR 100 MM (4"")SANITARIO- MARCA TUBOS FLEXIBLES ",A251,Ej. Sube tu Producto,SANITARIO,m252
"ADAPTADOR A GALVANIZADO CEMENTAR 40MM (1 1/2"")SANITARIO- MARCA TUBOS FLEXIBLES ",A252,Ej. Sube tu Producto,SANITARIO,m253
"ADAPTADOR A GALVANIZADO CEMENTAR 50 MM (2"")SANITARIO- MARCA TUBOS FLEXIBLES ",A253,Ej. Sube tu Producto,SANITARIO,m254
"ADAPTADOR A GALVANIZADO CEMENTAR 75 MM (3"")SANITARIO- MARCA TUBOS FLEXIBLES ",A254,Ej. Sube tu Producto,SANITARIO,m255
"ADAPTADOR A GALVANIZADO ESPIGA DE 100 X 100 MM (4"" X 4"") SANITARIO- MARCA TUBOS FLEXIBLES ",A255,Ej. Sube tu Producto,SANITARIO,m256
"ADAPTADOR A GALVANIZADO ESPIGA DE 40 X 40MM (1 1/2""X 1 1/2"") SANITARIO- MARCA TUBOS FLEXIBLES ",A256,Ej. Sube tu Producto,SANITARIO,m257
"ADAPTADOR A GALVANIZADO ESPIGA DE 50 X 50 MM (2"" X 2"") SANITARIO- MARCA TUBOS FLEXIBLES ",A257,Ej. Sube tu Producto,SANITARIO,m258
"ADAPTADOR A GALVANIZADO ESPIGA DE 75 X 75 MM (3"" X 3"") SANITARIO- MARCA TUBOS FLEXIBLES",A258,Ej. Sube tu Producto,SANITARIO,m259
ADAPTADOR AMERICANO/EURO 125V 1500W- MARCA VIMAR ,A259,Ej. Sube tu Producto,SANITARIO,m260
ADAPTADOR CAMPANA 60MM PVC HID.S.I. ,A260,Ej. Sube tu Producto,SANITARIO,m261
ADAPTADOR CAMPANA 75MM PVC HID.S.I. ,A261,Ej. Sube tu Producto,SANITARIO,m262
ADAPTADOR CAMPANA GALVANIZADO SANITARIO50X50MM ,A262,Ej. Sube tu Producto,SANITARIO,m263
ADAPTADOR CAMPANA HID SI 100 MM RD/26 SISTEMA INGLES- MARCA TUBOS FLEXIBLES ,A263,Ej. Sube tu Producto,SANITARIO,m264
ADAPTADOR CAMPANA HIDRAULICO 38 MM RD/26 SISTEMA INGLES MARCA TUBOS FLEXIBLES ,A264,Ej. Sube tu Producto,HIDRAULICO,m265
ADAPTADOR CAMPANA HIDRAULICO SI 150 MM RD/26 SISTEMA INGLES- MARCA TUBOS FLEXIBLES ,A265,Ej. Sube tu Producto,HIDRAULICO,m266
ADAPTADOR CAMPANA HIDRAULICO SI 50MM SISTEMA INGLES- MARCA TUBOS FLEXIBLES ,A266,Ej. Sube tu Producto,HIDRAULICO,m267
ADAPTADOR CAMPANA HIDRAULICO SI 60 MM- SISTEMA INGLES- MARCA TUBOS FLEXIBLES ,A267,Ej. Sube tu Producto,HIDRAULICO,m268
ADAPTADOR CAMPANA HIDRAULICO SI 75 MM SISTEMA INGLES- MARCA TUBOS FLEXIBLES ,A268,Ej. Sube tu Producto,HIDRAULICO,m269
ADAPTADOR CAMPANA PVC A FOFO 100MM- MARCA POLYDUCTO ,A269,Ej. Sube tu Producto,HIDRAULICO,m270
"ADAPTADOR CAMPANA PVC-HA HIDRAULICO ANGER SI DE 100 MM ( 4"") RD 26- MARCA TUBOS FLEXIBLES ",A270,Ej. Sube tu Producto,HIDRAULICO,m271
